name	citation	downloads
disgenet	20861032	0
genemania	20926419	83065
psicquicuniversalclient	21716279	0
bisogenet	20163717	15955
metscape	22135418	35068
bingo	15972284	119749
pingo	21278188	1701
cluego	19237447	187275
keypathwayminer	22353882	15521
clusterone	22426491	20503
mcode	12525261	79606
networkanalyzer	18006545	13146
cytohubba	25521941	29653
pinnaclez	17940530	0
enrichmentmap	21085593	64186
wordcloud	21473782	31654
pangia	21886098	2105
cyanimator	26937268	25176
mosaic	22576176	0
rinalyzer	21345680	4990
cytargetlinker	31489175	26517
cytocopter	23079107	5855
cysbml	22772946	0
cypath2	21071392	27164
cytogedevo	26669930	7555
cluepedia	23325622	107155
cyrface	24715956	4240
slimscape	26674271	7017
cynitoolbox	25527096	14085
noa	23749961	0
gfdnet	28274758	9882
jepetto	24363376	13885
examine	25002203	12798
simboolnet	19887508	0
wikipathways	25254103	47630
reactomefiplugin	20482850	61775
conet	27853510	23614
genomespace	25165537	5910
iregulon	25058159	17058
pathwayscoringapplication	23042589	7359
hypermodules	24713437	3405
cykeggparser	25383185	34224
gasoline	25324964	7840
keggscape	25177485	51551
clustermaker2	22070249	73320
enhancedgraphics	25285206	50604
setsapp	25352980	11534
d3jsexporter	25520778	8297
bridgedb	25110584	13379
kddn	25273109	4397
rene	25541727	18356
petriscape	27402693	2299
structureviz2	17623706	8606
cddapp	25212755	7361
propagate	20090828	1307
pinbpa	25260698	8965
aracne	16723010	7899
cyrest	26672762	80282
golorize	17127678	10279
animo	24808226	20642
scode	18586722	5340
psfc	26834984	8458
cy3sbml	22772946	15863
socialnetworkapp	26949516	6977
phosphopath	26317507	13774
cytransfinder	27059647	11638
stringapp	30450911	83571
pathlinker	28413614	12066
diffany	26729218	2385
ncmine	27466623	2341
dynet	27153624	7727
netmatchstar	26594341	4218
mcds	27599550	3048
cyndex	26594663	4255
enrichmentmappipelinecollection	30664679	12618
dedal	26271256	2793
pemeasure	23688127	1876
ismags	28158465	5750
pewcc	23688127	1713
disgenetapp	27924018	13381
phenomescape	25631385	5205
gnc	29408296	3125
gta	26750920	1000
cytogta	26750920	2662
rinspector	29028877	2787
syncvis	30400817	908
tetramer	27650846	1330
grncop2	21524308	749
omnipath	27898060	3854
omicsvisualizer	32399202	3416
biogatewaycytoscapeplugin	31710663	608
dkernel	18832443	87
