"pmid","journalTitle","citedByCount"
"14597658","Genome Res",10051
"22588877","Cancer Discov",4239
"23550210","Sci Signal",3529
"19114008","BMC Bioinformatics",3348
"21149340","Bioinformatics",2133
"23128233","Nature",1969
"15972284","Bioinformatics",1957
"21045058","Nucleic Acids Res",1673
"21789182","PLoS One",1620
"19237447","Bioinformatics",1562
"27924014","Nucleic Acids Res",1477
"18497261","Science",1390
"19192299","BMC Bioinformatics",1294
"18940858","Nucleic Acids Res",1232
"17947979","Nat Protoc",1226
"25414356","Nucleic Acids Res",1220
"21423178","Nat Cell Biol",1202
"19465376","Nucleic Acids Res",868
"23703215","Nucleic Acids Res",833
"19615732","Cell",829
"18358816","Cell",829
"21526222","PLoS Biol",824
"20562859","Nature",800
"22135298","Nucleic Acids Res",750
"21085593","PLoS One",707
"21964340","Nature",693
"18832364","Nucleic Acids Res",665
"21067998","Nucleic Acids Res",662
"25514926","Nucleic Acids Res",660
"24309898","Mol Cell Proteomics",639
"24530056","Immunity",631
"23132118","Nat Methods",626
"23177736","Mol Cell",603
"18854821","Mol Syst Biol",587
"18006545","Bioinformatics",585
"22424236","Cell",567
"30476243","Nucleic Acids Res",544
"17785539","Genome Res",534
"25109877","Cell",517
"18371930","Am J Hum Genet",499
"23118484","Nucleic Acids Res",497
"21071413","Nucleic Acids Res",492
"23021777","Cell",481
"22121220","Nucleic Acids Res",480
"18981052","Nucleic Acids Res",479
"25673412","Nature",479
"17353931","Mol Syst Biol",476
"21071392","Nucleic Acids Res",475
"19013282","Cell",474
"25428363","Nucleic Acids Res",462
"17145710","Nucleic Acids Res",445
"15994189","Bioinformatics",445
"23352431","Cell",439
"19041753","Cell",425
"22426491","Nat Methods",416
"23203989","Nucleic Acids Res",415
"23584533","EMBO J",406
"17353930","Mol Syst Biol",397
"18000002","Nucleic Acids Res",393
"19850723","Nucleic Acids Res",387
"27504778","Nat Biotechnol",379
"27098042","Nucleic Acids Res",377
"24407421","Cell Res",374
"22832581","Nature",372
"20656902","Bioinformatics",367
"26651948","Cell Host Microbe",354
"24816252","Nat Genet",351
"25754370","Aging Cell",348
"16948836","Genome Biol",343
"20071342","J Biol Chem",342
"15687504","Proc Natl Acad Sci U S A",331
"17367534","Genome Biol",330
"24267886","Cell",329
"20668554","PLoS One",328
"23180781","Nucleic Acids Res",326
"21536720","Genome Res",320
"24736369","Nat Commun",319
"29790989","Nucleic Acids Res",318
"19144180","BMC Genomics",312
"25662751","Cell Host Microbe",312
"22184244","Proc Natl Acad Sci U S A",312
"21565611","Cell",311
"20360068","Science",310
"20482850","Genome Biol",309
"27924018","Nucleic Acids Res",307
"21063955","Methods Mol Biol",307
"24037242","Nat Methods",305
"20160708","Mol Syst Biol",304
"19897547","Nucleic Acids Res",303
"23325622","Bioinformatics",302
"15608229","Nucleic Acids Res",302
"23143270","Nucleic Acids Res",300
"24927332","Anal Chem",300
"28397821","Nature",299
"24076601","Nat Genet",295
"18451766","EMBO Rep",295
"20531367","Nat Rev Genet",295
"27323842","Genome Biol",293
"22578497","Neuron",292
"18846089","Nat Biotechnol",292
"20011109","PLoS Comput Biol",291
"23806337","Mol Cell",287
"21890473","Mol Cell Proteomics",286
"20829833","Nat Biotechnol",285
"17299415","Mol Syst Biol",285
"20543837","Nat Immunol",283
"24735618","J Cheminform",276
"23201123","Mol Cell",274
"18651794","PLoS Biol",270
"19478882","PLoS Pathog",270
